         66601 function calls in 0.159 seconds

   Ordered by: cumulative time
   List reduced from 134 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      200    0.000    0.000    0.159    0.001 /usr/local/lib/python3.11/site-packages/tensorflow/python/eager/polymorphic_function/concrete_function.py:1120(__call__)
      200    0.001    0.000    0.159    0.001 /usr/local/lib/python3.11/site-packages/tensorflow/python/eager/polymorphic_function/concrete_function.py:1172(_call_impl)
      200    0.001    0.000    0.158    0.001 /usr/local/lib/python3.11/site-packages/tensorflow/python/eager/polymorphic_function/concrete_function.py:1244(_call_with_structured_signature)
      200    0.001    0.000    0.130    0.001 /usr/local/lib/python3.11/site-packages/tensorflow/python/saved_model/load.py:124(_call_flat)
      200    0.001    0.000    0.120    0.001 /usr/local/lib/python3.11/site-packages/tensorflow/python/eager/polymorphic_function/concrete_function.py:1267(_call_flat)
      200    0.000    0.000    0.118    0.001 /usr/local/lib/python3.11/site-packages/tensorflow/python/eager/polymorphic_function/atomic_function.py:214(call_preflattened)
      200    0.003    0.000    0.115    0.001 /usr/local/lib/python3.11/site-packages/tensorflow/python/eager/polymorphic_function/atomic_function.py:219(call_flat)
      200    0.001    0.000    0.108    0.001 /usr/local/lib/python3.11/site-packages/tensorflow/python/eager/context.py:1542(call_function)
      200    0.000    0.000    0.106    0.001 /usr/local/lib/python3.11/site-packages/tensorflow/python/eager/execute.py:28(quick_execute)
      200    0.105    0.001    0.105    0.001 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
      200    0.000    0.000    0.014    0.000 /usr/local/lib/python3.11/site-packages/tensorflow/python/eager/polymorphic_function/function_type_utils.py:383(canonicalize_function_inputs)
      200    0.001    0.000    0.014    0.000 /usr/local/lib/python3.11/site-packages/tensorflow/python/eager/polymorphic_function/function_type_utils.py:428(bind_function_inputs)
      200    0.002    0.000    0.012    0.000 /usr/local/lib/python3.11/site-packages/tensorflow/core/function/polymorphism/function_type.py:262(bind_with_defaults)
      400    0.002    0.000    0.011    0.000 /usr/local/lib/python3.11/site-packages/tensorflow/python/framework/tensor.py:1098(cast)
      200    0.002    0.000    0.010    0.000 /usr/local/lib/python3.11/site-packages/tensorflow/core/function/polymorphism/function_type.py:372(unpack_inputs)
     2400    0.001    0.000    0.007    0.000 /usr/local/lib/python3.11/site-packages/tensorflow/python/saved_model/load.py:126(get_handle)
      200    0.001    0.000    0.007    0.000 /usr/local/lib/python3.11/site-packages/tensorflow/python/framework/tensor.py:1080(to_tensors)
     2400    0.001    0.000    0.006    0.000 /usr/local/lib/python3.11/site-packages/tensorflow/python/distribute/distribute_utils.py:251(is_distributed_variable)
      400    0.002    0.000    0.006    0.000 /usr/local/lib/python3.11/site-packages/tensorflow/python/framework/tensor.py:998(is_subtype_of)
     2600    0.003    0.000    0.005    0.000 {built-in method builtins.getattr}
      600    0.001    0.000    0.004    0.000 /usr/local/lib/python3.11/site-packages/tensorflow/python/framework/tensor_shape.py:1167(is_subtype_of)
      200    0.000    0.000    0.003    0.000 /usr/local/lib/python3.11/site-packages/tensorflow/core/function/polymorphism/function_type.py:438(pack_output)
      200    0.000    0.000    0.003    0.000 /usr/local/lib/python3.11/site-packages/tensorflow/python/eager/polymorphic_function/concrete_function.py:1501(captured_inputs)
      200    0.000    0.000    0.003    0.000 /usr/local/lib/python3.11/inspect.py:3190(bind)
      200    0.002    0.000    0.003    0.000 /usr/local/lib/python3.11/inspect.py:3059(_bind)
     2400    0.002    0.000    0.002    0.000 /usr/local/lib/python3.11/site-packages/tensorflow/python/framework/tensor.py:251(__getattr__)
      400    0.001    0.000    0.002    0.000 /usr/local/lib/python3.11/site-packages/tensorflow/python/framework/tensor.py:853(__init__)
      200    0.001    0.000    0.002    0.000 /usr/local/lib/python3.11/site-packages/tensorflow/core/function/trace_type/default_types.py:758(from_tensors)
      200    0.000    0.000    0.002    0.000 /usr/local/lib/python3.11/site-packages/tensorflow/python/util/nest.py:198(flatten)
      600    0.001    0.000    0.001    0.000 {built-in method builtins.all}
      200    0.000    0.000    0.001    0.000 /usr/local/lib/python3.11/site-packages/tensorflow/python/eager/polymorphic_function/function_type_utils.py:430(<dictcomp>)
      200    0.000    0.000    0.001    0.000 /usr/local/lib/python3.11/site-packages/tensorflow/python/util/nest_util.py:615(flatten)
      200    0.000    0.000    0.001    0.000 /usr/local/lib/python3.11/site-packages/tensorflow/python/distribute/distribute_lib.py:453(get_replica_context)
      200    0.001    0.000    0.001    0.000 /usr/local/lib/python3.11/site-packages/tensorflow/python/distribute/distribute_lib.py:385(_get_per_thread_mode)
      200    0.000    0.000    0.001    0.000 /usr/local/lib/python3.11/site-packages/tensorflow/core/function/polymorphism/function_type.py:488(sanitize_arg_name)
      200    0.000    0.000    0.001    0.000 /usr/local/lib/python3.11/site-packages/tensorflow/python/util/nest_util.py:721(_tf_core_flatten)
     1800    0.001    0.000    0.001    0.000 /usr/local/lib/python3.11/site-packages/tensorflow/python/framework/tensor_shape.py:892(rank)
      200    0.000    0.000    0.001    0.000 /usr/local/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:4510(control_dependencies)
     1200    0.000    0.000    0.001    0.000 {built-in method builtins.next}
      200    0.001    0.000    0.001    0.000 /usr/local/lib/python3.11/site-packages/tensorflow/python/eager/polymorphic_function/concrete_function.py:1508(<listcomp>)


