ImageSize,Transfer,Histogram,Gather,Reduce,Entropy
256,240.904102,7.540932,0.117840,0.023200,0.299241
256,18.713110,2.365644,0.091920,0.005600,0.251520
256,17.945548,2.363084,0.092360,0.005920,0.249641
256,17.926989,2.359363,0.092121,0.005560,0.249000
256,17.912108,2.352084,0.090960,0.005160,0.249120
256,17.888988,2.359244,0.090680,0.005240,0.248281
256,17.890549,2.355523,0.094000,0.005720,0.249601
256,17.978069,2.368484,0.092600,0.006520,0.248080
256,18.002948,2.386404,0.090800,0.005680,0.249521
256,17.869989,2.365683,0.090360,0.005841,0.264240
256,17.854749,1.556762,0.060280,0.005160,0.168041
256,15.453745,1.563162,0.059520,0.005320,0.162481
256,15.447705,1.553922,0.059440,0.005200,0.162040
256,15.447265,1.552682,0.061680,0.005520,0.163080
256,15.424624,1.550003,0.059280,0.005200,0.162840
256,15.440224,1.552243,0.059360,0.005080,0.162560
256,15.392864,1.551962,0.062401,0.005720,0.163640
256,15.429505,1.550842,0.060120,0.005160,0.162881
256,15.425105,1.554322,0.061280,0.005560,0.162961
256,15.417265,1.547362,0.059120,0.005080,0.162960
256,15.417624,1.549963,0.059520,0.005200,0.162560
256,15.414064,1.551403,0.061760,0.005360,0.163360
256,15.420464,1.552242,0.059521,0.005000,0.163560
256,15.401345,1.552402,0.059880,0.005120,0.166041
256,15.404105,1.565402,0.059880,0.005000,0.163760
256,15.415824,1.545643,0.059880,0.005080,0.163520
256,15.420504,1.553043,0.061560,0.005440,0.163520
256,15.444544,1.560443,0.059320,0.005080,0.163760
256,15.423704,1.549002,0.059841,0.005080,0.163080
256,15.393305,1.552122,0.061680,0.005840,0.163401
256,15.440865,1.553162,0.060160,0.005120,0.162360
256,15.442825,1.552842,0.061360,0.005560,0.163000
256,15.425864,1.549483,0.059720,0.005560,0.163320
256,15.436624,1.548523,0.059680,0.005160,0.162720
256,15.445064,1.554723,0.061320,0.005440,0.162960
256,15.484105,1.552722,0.059481,0.005080,0.165440
256,15.464585,1.556202,0.062440,0.005641,0.163320
256,15.450185,1.590282,0.060320,0.005000,0.162961
256,15.440625,1.553682,0.059880,0.005440,0.162361
256,15.430505,1.543802,0.062440,0.005680,0.162720
256,15.410464,1.551643,0.059600,0.005080,0.163040
256,15.431504,1.550323,0.059720,0.005040,0.165480
256,15.399744,1.571363,0.059720,0.005440,0.163000
256,15.430865,1.546322,0.059360,0.005240,0.163761
256,15.420985,1.553842,0.061120,0.005800,0.163481
256,15.415705,1.547802,0.060320,0.005080,0.162920
256,15.438384,1.553123,0.060240,0.005120,0.163920
256,15.385064,1.550963,0.060600,0.005400,0.163320
256,15.432784,1.549043,0.059840,0.005200,0.163080
256,15.455865,1.551802,0.061361,0.005800,0.162360
256,15.413385,1.549682,0.059960,0.005120,0.162521
256,15.405945,1.548722,0.059720,0.005120,0.163040
256,15.436944,1.546323,0.062360,0.005680,0.163000
256,15.417704,1.551923,0.059720,0.005080,0.162760
256,15.413864,1.553843,0.064040,0.008240,0.163400
256,15.420665,1.573242,0.059481,0.005160,0.162640
256,15.454185,1.551722,0.060320,0.005200,0.163481
256,15.420785,1.551642,0.061040,0.005600,0.164280
256,15.466945,1.555722,0.059960,0.005160,0.164040
256,15.487865,1.554482,0.059680,0.005160,0.164120
256,15.462704,1.560203,0.059560,0.005440,0.163520
256,15.437904,1.546243,0.059720,0.005280,0.163080
256,15.464824,1.556003,0.060760,0.006040,0.164000
256,15.459104,1.550523,0.059960,0.005120,0.163200
256,15.498265,1.551842,0.059961,0.005520,0.162840
256,15.453305,1.560642,0.060480,0.005080,0.163161
256,15.450785,1.546162,0.059800,0.005200,0.163281
256,15.471265,1.559082,0.060880,0.005320,0.163801
256,15.454785,1.552602,0.059720,0.005080,0.163960
256,15.447424,1.554763,0.059640,0.005320,0.162280
256,15.417344,1.555243,0.061920,0.005720,0.162880
256,15.460904,1.551203,0.059400,0.005480,0.162920
256,15.441104,1.554603,0.062040,0.006040,0.163160
256,15.427625,1.554562,0.059401,0.005440,0.161960
256,15.425545,1.550242,0.059560,0.005240,0.163321
256,15.448985,1.550162,0.062640,0.005640,0.163120
256,15.435025,1.546562,0.060560,0.005040,0.163200
256,15.441944,1.552083,0.061240,0.005960,0.162520
256,15.425504,1.550363,0.059800,0.005040,0.164320
256,15.450344,1.552203,0.059280,0.005160,0.163360
256,15.442985,1.551242,0.060801,0.005680,0.163400
256,15.215104,1.550682,0.059600,0.005440,0.162561
256,15.498985,1.553162,0.073760,0.008480,0.163241
256,15.462225,1.558322,0.059640,0.005120,0.164081
256,15.451945,1.551202,0.059520,0.005200,0.163120
256,15.443784,1.544323,0.062200,0.005520,0.163080
256,15.430984,1.553163,0.059800,0.005080,0.164200
256,15.443024,1.550643,0.059640,0.005200,0.169120
256,15.468864,1.574523,0.059960,0.005440,0.163560
256,15.552665,1.559243,0.060360,0.005320,0.168000
256,15.653184,1.567683,0.061280,0.005920,0.164640
256,15.625065,1.564442,0.060240,0.005440,0.163560
256,15.624305,1.558682,0.063000,0.005880,0.163481
256,15.639105,1.578042,0.060121,0.005600,0.164880
256,15.593625,1.570443,0.065320,0.008680,0.163480
256,15.664544,1.571643,0.059960,0.005760,0.163640
256,15.573865,1.556962,0.060280,0.005680,0.162880
256,15.537665,1.560042,0.061480,0.006080,0.161880
256,15.521825,1.558042,0.060200,0.005480,0.163640
256,15.534625,1.560802,0.061000,0.006200,0.163080
